t,rss_mb,num_fds,cpu_pct,loop_lag_p99_ms
1780610737.287,140.9,12,0.0,0.00
1780610737.424,161.3,11,95.0,0.00
1780610737.526,165.2,366,48.8,0.00
1780610737.648,175.0,522,90.4,362.64
1780610737.748,180.7,522,19.9,0.34
1780610737.848,180.7,522,0.0,0.34
1780610737.949,180.7,522,0.0,0.34
1780610738.049,180.7,522,0.0,0.34
1780610738.149,180.7,522,0.0,0.34
1780610738.249,180.7,522,0.0,0.34
1780610738.350,180.7,522,0.0,0.34
1780610738.450,180.7,522,0.0,0.34
1780610738.550,180.7,522,0.0,0.34
1780610738.650,180.7,522,0.0,0.34
1780610738.751,180.7,522,0.0,0.34
1780610738.851,180.7,522,0.0,0.34
1780610738.951,180.7,522,0.0,0.34
1780610739.051,180.7,522,0.0,0.34
1780610739.151,180.7,522,0.0,0.34
1780610739.252,180.7,522,0.0,0.34
1780610739.352,180.7,522,0.0,0.34
1780610739.452,180.7,522,0.0,0.34
1780610739.552,180.7,522,0.0,0.34
1780610739.653,180.7,522,0.0,0.34
1780610739.753,180.7,522,0.0,0.34
1780610739.853,180.7,522,0.0,0.34
1780610739.953,180.7,522,0.0,0.34
1780610740.054,180.7,522,0.0,0.34
1780610740.154,180.7,522,0.0,0.34
1780610740.254,180.7,522,0.0,0.34
1780610740.354,180.7,522,0.0,0.34
1780610740.455,180.7,522,0.0,0.34
1780610740.555,180.7,522,0.0,0.34
1780610740.655,180.7,522,0.0,0.34
1780610740.755,180.7,522,0.0,0.34
1780610740.855,180.7,522,0.0,0.34
1780610740.956,180.7,522,0.0,0.34
1780610741.056,180.7,522,0.0,0.34
1780610741.156,180.7,522,0.0,0.34
1780610741.256,180.7,522,0.0,0.34
1780610741.357,180.7,522,0.0,0.34
1780610741.457,180.7,522,0.0,0.34
1780610741.557,180.7,522,0.0,0.34
1780610741.658,180.7,522,0.0,0.34
1780610741.758,180.7,522,10.0,0.34
1780610741.858,180.7,522,0.0,0.34
1780610741.958,180.7,522,0.0,0.34
1780610742.059,180.7,522,0.0,0.34
1780610742.160,199.4,525,29.6,3.36
1780610742.263,201.4,525,0.0,3.36
1780610742.363,201.4,525,0.0,3.36
1780610742.464,201.4,525,0.0,3.36
1780610742.564,201.4,525,0.0,3.36
1780610742.664,201.4,525,0.0,3.36
1780610742.765,201.4,525,0.0,3.36
1780610742.866,201.7,525,9.9,3.36
1780610742.966,201.7,525,0.0,3.36
1780610743.066,201.7,525,0.0,3.36
1780610743.167,208.7,529,39.9,5.34
1780610743.267,208.7,529,10.0,5.34
1780610743.367,208.7,529,0.0,5.34
1780610743.467,208.7,529,0.0,5.34
1780610743.570,208.7,529,9.7,5.34
1780610743.676,210.0,530,57.1,5.34
1780610743.779,210.0,532,0.0,9.14
1780610743.879,210.0,532,0.0,9.14
1780610743.979,210.0,532,0.0,9.14
1780610744.080,210.0,532,0.0,9.14
1780610744.180,210.0,532,19.9,5.34
1780610744.280,210.0,532,0.0,5.34
1780610744.380,210.0,532,0.0,5.34
1780610744.481,210.0,532,0.0,5.34
1780610744.581,210.0,532,0.0,5.34
1780610744.681,210.0,532,0.0,5.34
1780610744.782,210.0,532,0.0,5.34
