t,tcp_inuse,tcp_tw,tcp_orphan,file_nr_used,loadavg_1m
1780611945.630,1949,618,0,9984,18.34
1780611946.630,9651,618,0,16512,18.34
1780611947.630,18333,618,0,24000,18.34
1780611948.631,54070,619,0,51840,22.08
1780611949.631,57192,619,0,57984,22.08
1780611950.631,57531,620,0,58176,22.08
1780611951.632,57532,620,0,58176,22.08
1780611952.632,57532,621,0,58176,22.08
1780611953.632,45866,6393,0,56064,20.47
1780611954.632,45866,6393,0,56064,20.47
1780611955.632,45332,6660,0,56064,20.47
1780611956.633,45790,6690,0,56256,20.47
1780611957.633,45941,6690,0,56256,20.47
1780611958.633,46249,6690,0,56256,18.99
1780611959.634,46257,6690,0,56256,18.99
1780611960.634,46258,6690,0,56832,18.99
1780611961.634,46257,6690,0,56832,18.99
1780611962.634,46120,6760,0,56832,18.99
1780611963.635,45489,7120,0,56448,17.63
1780611964.635,45953,7173,0,56448,17.63
1780611965.635,46063,7173,0,56448,17.63
1780611966.635,46063,7173,0,56448,17.63
1780611967.636,46063,7174,0,56448,17.63
1780611968.636,46101,7174,0,56448,19.82
1780611969.636,46216,7174,0,56448,19.82
1780611970.636,46188,7188,0,56448,19.82
1780611971.637,46188,7187,0,56448,19.82
1780611972.637,46188,7187,0,56448,19.82
1780611973.637,45920,7320,0,56448,18.31
1780611974.637,45856,7600,0,56448,18.31
1780611975.638,46002,7599,0,56448,18.31
1780611976.638,46008,7599,0,56448,18.31
1780611977.638,46008,7598,0,56448,18.31
1780611978.638,46020,7598,0,56448,19.01
1780611979.639,46172,7595,0,57024,19.01
1780611980.639,46141,7611,0,57024,19.01
1780611981.639,46141,7610,0,57024,19.01
1780611982.640,46141,7610,0,57024,19.01
1780611983.640,46047,7656,0,57024,17.57
1780611984.640,45678,8005,0,57024,17.57
1780611985.640,45961,8004,0,57024,17.57
1780611986.641,46038,8004,0,57024,17.57
1780611987.641,46038,7777,0,57024,17.57
1780611988.641,46056,7777,0,57024,17.68
1780611989.641,46156,7777,0,57024,17.68
1780611990.642,46150,7597,0,57024,17.68
1780611991.642,46132,7606,0,57024,17.68
1780611992.642,46132,7606,0,57024,17.68
1780611993.642,45972,7686,0,57024,16.43
1780611994.643,45831,7989,0,56832,16.43
1780611995.643,45961,7989,0,56832,16.43
1780611996.643,46011,7989,0,56832,16.43
1780611997.643,46011,7989,0,56832,16.43
1780611998.644,46063,7988,0,56832,17.51
1780611999.644,46125,7989,0,56832,17.51
1780612000.644,46123,7987,0,56832,17.51
1780612001.644,46113,7992,0,56832,17.51
1780612002.645,46113,7932,0,56640,17.51
1780612003.645,45493,8242,0,56640,16.27
1780612004.645,45824,8245,0,56640,16.27
1780612005.645,45986,8243,0,56832,16.27
1780612006.646,46048,8241,0,56832,16.27
1780612007.646,46048,8241,0,56832,16.27
1780612008.646,46078,8241,0,56832,19.21
1780612009.646,46178,8241,0,56832,19.21
1780612010.647,46174,8243,0,56832,19.21
1780612011.647,46166,8247,0,56832,19.21
1780612012.647,46190,8246,0,56832,19.21
1780612013.647,45732,8475,0,56832,17.75
1780612014.648,45452,2785,0,56832,17.75
1780612015.648,45386,2818,0,56832,17.75
1780612016.648,46064,2554,0,56832,17.75
1780612017.648,46238,2554,0,56832,17.75
1780612018.649,46238,2525,0,56832,16.41
1780612019.649,46238,2525,0,56832,16.41
1780612020.649,46282,2525,0,56832,16.41
1780612021.649,46386,2527,0,56832,16.41
1780612022.650,46358,2497,0,56832,16.41
1780612023.650,46358,2497,0,56832,15.26
1780612024.650,46358,2056,0,56832,15.26
1780612025.650,45656,2408,0,56832,15.26
1780612026.651,45492,2490,0,56640,15.26
