t,rss_mb,num_fds,cpu_pct,loop_lag_p99_ms
1780606776.592,163.1,10,251.2,0.00
1780606776.809,201.1,10,64.2,0.00
1780606776.937,219.9,136,31.2,0.00
1780606777.044,225.6,556,56.1,0.00
1780606777.185,228.8,736,99.9,0.00
1780606777.301,239.6,1457,85.9,0.00
1780606777.422,251.9,2177,82.3,0.00
1780606777.709,268.1,3269,101.2,0.00
1780606777.874,286.3,4480,97.0,0.00
1780606778.034,308.7,5776,112.6,0.00
1780606778.323,318.6,6381,111.0,0.00
1780606778.496,341.5,7752,109.6,0.00
1780606778.687,360.6,9024,94.4,0.00
1780606779.132,380.2,10452,109.9,0.00
1780606779.360,411.1,12263,109.9,0.00
1780606779.970,441.2,14168,108.3,0.00
1780606780.237,473.3,16256,119.5,0.00
1780606782.674,506.8,16394,100.1,6192.37
1780606782.912,742.9,16394,134.0,6192.37
1780606783.487,767.2,16394,128.6,452.19
1780606783.608,771.2,16394,16.5,452.19
1780606783.729,771.2,16394,16.6,452.19
1780606783.849,771.2,16394,16.7,452.19
1780606783.967,771.2,16394,8.5,452.19
1780606784.084,771.2,16394,25.7,452.19
1780606784.204,771.2,16394,8.3,452.19
1780606784.324,771.2,16394,24.9,452.19
1780606784.445,771.2,16394,16.6,452.19
1780606784.565,771.2,16394,16.6,452.19
1780606784.686,771.2,16394,16.6,452.19
1780606784.806,771.2,16394,8.3,452.19
1780606784.927,771.2,16394,24.9,452.19
1780606785.047,771.2,16394,16.6,452.19
1780606785.168,771.2,16394,16.6,452.19
1780606785.289,771.2,16394,16.6,452.19
1780606785.409,771.2,16394,16.6,452.19
1780606785.530,771.2,16394,16.6,452.19
1780606785.650,771.2,16394,16.6,452.19
1780606785.771,771.2,16394,16.6,452.19
1780606785.891,771.2,16394,16.6,452.19
1780606786.011,771.2,16394,16.6,452.19
1780606786.132,771.2,16394,24.9,452.19
1780606786.253,771.2,16394,8.3,452.19
1780606786.373,771.2,16394,24.9,452.19
1780606786.493,771.2,16394,8.3,452.19
1780606786.613,771.2,16394,16.6,452.19
1780606786.734,771.2,16394,16.6,452.19
1780606786.854,771.2,16394,24.9,452.19
1780606786.975,771.2,16394,16.6,452.19
1780606787.095,771.2,16394,8.3,452.19
1780606787.215,771.2,16394,16.7,452.19
1780606787.335,771.2,16394,25.0,452.19
1780606787.456,771.2,16394,16.6,452.19
1780606787.576,771.2,16394,16.6,452.19
1780606787.697,771.2,16394,16.6,452.19
1780606787.817,771.2,16394,16.6,452.19
1780606787.938,771.2,16394,16.6,452.19
1780606788.058,771.2,16394,16.6,452.19
1780606788.178,771.2,16394,16.7,452.19
1780606788.298,771.2,16394,16.7,452.19
1780606788.417,771.2,16394,16.7,452.19
1780606788.537,771.2,16394,16.6,452.19
1780606788.658,771.2,16394,16.6,452.19
1780606788.778,771.2,16394,16.6,452.19
1780606788.899,771.2,16394,16.6,452.19
1780606789.019,771.2,16394,16.6,452.19
1780606789.140,771.2,16394,16.6,452.19
1780606789.260,771.2,16394,16.6,452.19
1780606789.380,771.2,16394,16.7,452.19
1780606789.499,771.2,16394,16.7,452.19
1780606789.619,771.2,16394,25.1,452.19
1780606789.738,771.2,16394,8.4,272.80
1780606789.864,771.2,16394,15.9,0.47
1780606789.985,771.3,16394,24.8,0.16
1780606790.105,771.3,16394,16.6,0.16
1780606790.226,771.3,16394,16.6,0.16
1780606790.346,771.3,16394,16.6,0.16
1780606790.467,771.3,16394,8.3,0.16
1780606790.587,771.3,16394,24.9,0.16
1780606790.707,771.3,16394,16.7,0.16
1780606790.826,771.3,16394,16.7,0.16
1780606790.945,771.3,16394,16.7,0.16
1780606791.065,771.3,16394,16.8,0.16
1780606791.184,771.3,16394,16.8,0.16
1780606791.304,771.3,16394,16.6,0.16
1780606791.425,771.3,16394,16.6,0.16
1780606791.545,771.3,16394,8.3,0.16
1780606791.666,771.3,16394,24.9,0.16
1780606791.786,771.3,16394,16.6,0.16
1780606791.906,771.3,16394,16.6,0.16
1780606792.027,771.3,16394,16.6,0.16
1780606792.147,771.3,16394,16.6,0.16
1780606792.268,771.3,16394,16.6,0.16
1780606792.389,771.3,16394,16.6,0.16
1780606792.509,771.3,16394,16.6,0.16
1780606792.630,771.3,16394,16.6,0.16
1780606792.751,771.3,16394,16.6,0.16
1780606792.871,771.3,16394,24.9,0.16
1780606792.992,771.3,16394,8.3,0.16
1780606793.112,771.3,16394,16.6,0.16
1780606793.232,771.3,16394,16.6,0.16
1780606793.352,771.3,16394,16.7,0.16
1780606793.472,771.3,16394,16.7,0.16
1780606793.592,771.3,16394,16.7,0.16
1780606793.711,771.3,16394,16.8,0.16
1780606793.831,771.3,16394,16.7,0.16
1780606793.951,771.3,16394,24.9,0.16
1780606794.072,771.3,16394,8.3,0.16
1780606794.192,771.3,16394,25.0,0.16
1780606794.311,771.3,16394,8.4,0.16
1780606794.429,771.3,16394,16.9,0.16
1780606794.546,771.3,16394,17.0,0.16
1780606794.664,771.3,16394,8.5,0.16
1780606794.781,771.3,16394,17.1,0.16
1780606794.897,771.3,16394,17.1,0.16
1780606795.014,771.3,16394,8.6,0.16
1780606795.131,771.3,16394,17.2,0.16
1780606795.247,771.3,16394,17.2,0.16
1780606795.364,771.3,16394,8.6,0.16
1780606795.480,771.3,16394,17.2,0.16
1780606795.596,771.3,16394,17.2,0.16
1780606795.713,771.3,16394,17.2,0.16
1780606795.829,771.3,16394,8.6,0.16
1780606795.945,771.3,16394,17.2,0.16
1780606796.062,771.3,16394,8.6,0.16
1780606796.178,771.3,16394,17.2,0.16
1780606796.298,771.3,16394,8.3,0.16
1780606796.419,771.3,16394,24.9,0.16
1780606796.539,771.3,16394,16.6,0.16
1780606796.660,771.3,16394,16.6,0.16
1780606796.781,771.3,16394,16.6,0.16
1780606796.901,771.3,16394,16.6,0.16
1780606797.021,771.3,16394,16.6,0.16
1780606797.141,771.3,16394,16.6,0.16
1780606797.262,771.3,16394,16.7,0.16
1780606797.381,771.3,16394,25.0,0.16
1780606797.501,771.3,16394,8.4,0.16
1780606797.620,771.3,16394,16.8,0.16
1780606797.741,771.3,16394,25.0,0.16
1780606797.861,771.3,16394,16.7,0.16
1780606797.980,771.3,16394,8.4,0.16
1780606798.099,771.3,16394,16.8,0.16
1780606798.217,771.3,16394,17.0,0.16
1780606798.334,771.3,16394,17.0,0.16
1780606798.451,771.3,16394,17.1,0.16
1780606798.568,771.3,16394,8.6,0.16
1780606798.684,771.3,16394,8.6,0.16
1780606798.801,771.3,16394,17.2,0.16
1780606798.917,771.3,16394,17.2,0.16
1780606799.033,771.3,16394,8.6,0.16
1780606799.149,771.3,16394,17.2,0.16
1780606799.266,771.3,16394,17.2,0.16
1780606799.382,771.3,16394,8.6,0.16
1780606799.498,771.3,16394,17.2,0.16
1780606799.614,771.3,16394,8.6,0.16
1780606799.730,771.3,16394,25.8,0.16
1780606799.846,771.3,16394,8.6,0.16
1780606799.963,771.3,16394,17.1,0.16
1780606800.084,771.3,16394,8.3,0.16
1780606800.204,771.3,16394,24.9,0.16
1780606800.325,771.3,16394,16.6,0.16
1780606800.446,771.3,16394,16.6,0.16
1780606800.566,771.3,16394,16.6,0.16
1780606800.687,771.3,16394,16.6,0.16
1780606800.808,771.3,16394,16.6,0.16
1780606800.928,771.3,16394,16.6,0.16
1780606801.049,771.3,16394,16.6,0.16
1780606801.170,771.3,16394,16.6,0.16
1780606801.299,771.3,16394,23.3,0.16
1780606801.420,771.3,16394,16.6,0.16
1780606801.540,771.3,16394,16.6,0.16
1780606801.661,771.3,16394,16.6,0.16
1780606801.782,771.3,16394,16.6,0.16
1780606801.902,771.3,16394,16.6,0.16
1780606802.023,771.3,16394,24.9,0.16
1780606802.143,771.3,16394,8.3,0.16
1780606802.264,771.3,16394,24.9,0.16
1780606802.385,771.3,16394,16.6,0.16
1780606802.505,771.3,16394,8.3,0.16
1780606802.626,771.3,16394,24.9,0.16
1780606802.746,771.3,16394,16.6,0.16
1780606802.867,771.3,16394,8.3,0.16
1780606802.988,771.3,16394,24.9,0.16
1780606803.108,771.3,16394,16.6,0.16
1780606803.229,771.3,16394,16.6,0.16
1780606803.350,771.3,16394,16.6,0.16
1780606803.470,771.3,16394,16.6,0.16
1780606803.590,771.3,16394,16.6,0.16
1780606803.711,771.3,16394,16.6,0.16
1780606803.831,771.3,16394,24.9,0.16
1780606803.952,771.3,16394,8.3,0.16
1780606804.073,771.3,16394,24.9,0.16
1780606804.193,771.3,16394,16.6,0.16
1780606804.314,771.3,16394,16.6,0.16
1780606804.434,771.3,16394,8.3,0.16
1780606804.555,771.3,16394,24.9,0.16
1780606804.675,771.3,16394,16.6,0.16
1780606804.795,771.3,16394,16.7,0.16
1780606804.915,771.3,16394,8.3,0.16
1780606805.036,771.3,16394,16.6,0.16
1780606805.156,771.3,16394,24.9,0.16
1780606805.277,771.3,16394,16.6,0.16
1780606805.397,771.3,16394,16.6,0.16
1780606805.518,771.3,16394,16.6,0.16
1780606805.638,771.3,16394,16.6,0.16
1780606805.759,771.3,16394,16.6,0.16
1780606805.879,771.3,16394,16.6,0.16
1780606805.999,771.3,16394,16.6,0.16
1780606806.120,771.3,16394,16.6,0.16
1780606806.240,771.3,16394,16.6,0.16
1780606806.361,771.3,16394,24.9,0.16
1780606806.481,771.3,16394,16.7,0.16
1780606806.601,771.3,16394,16.7,0.16
1780606806.722,771.3,16394,8.3,0.16
1780606806.842,771.3,16394,16.6,0.16
1780606806.963,771.3,16394,16.6,0.17
1780606807.083,771.3,16394,24.9,0.17
1780606807.203,771.3,16394,8.3,0.17
1780606807.324,771.3,16394,16.6,0.17
1780606807.445,771.3,16394,24.9,0.17
1780606807.565,771.3,16394,16.6,0.17
1780606807.686,771.3,16394,16.6,0.17
1780606807.806,771.3,16394,16.6,0.17
1780606807.927,771.3,16394,16.6,0.17
1780606808.047,771.3,16394,16.6,0.17
1780606808.168,771.3,16394,16.6,0.17
1780606808.288,771.3,16394,16.6,0.17
1780606808.409,771.3,16394,16.6,0.17
1780606808.530,771.3,16394,24.9,0.17
1780606808.650,771.3,16394,16.6,0.17
1780606808.770,771.3,16394,8.3,0.17
1780606808.891,771.3,16394,24.9,0.17
1780606809.012,771.3,16394,8.3,0.17
1780606809.132,771.3,16394,16.6,0.17
1780606809.253,771.3,16394,16.6,0.17
1780606809.374,771.3,16394,16.6,0.17
1780606809.494,771.3,16394,24.9,0.17
1780606809.615,771.3,16394,16.6,0.17
1780606809.735,771.3,16394,16.6,0.17
1780606809.856,771.3,16394,16.6,0.17
1780606809.976,771.3,16394,8.3,0.17
1780606810.096,771.3,16394,25.0,0.17
1780606810.216,771.3,16394,8.3,0.17
1780606810.337,771.3,16394,25.0,0.17
1780606810.456,771.3,16394,16.7,0.17
1780606810.576,771.3,16394,16.7,0.17
1780606810.695,771.3,16394,8.4,0.17
1780606810.815,771.4,16394,41.7,0.17
1780606810.936,771.4,16394,8.3,0.40
1780606811.056,771.4,16394,24.9,0.40
1780606811.177,771.4,16394,16.6,0.40
1780606811.297,771.4,16394,16.6,0.40
1780606811.418,771.4,16394,16.6,0.40
1780606811.538,771.4,16394,8.3,0.40
1780606811.841,772.4,16394,82.5,0.48
1780606812.033,772.4,16394,52.1,1.99
1780606812.154,772.6,16394,16.6,1.99
1780606812.276,772.6,16394,16.3,1.99
1780606812.397,772.6,16394,24.8,1.99
1780606812.518,772.6,16394,16.6,1.99
1780606812.638,772.6,16394,16.6,1.99
1780606812.761,772.6,16394,16.3,1.99
1780606812.882,772.6,16394,33.2,1.99
1780606813.002,772.7,16394,24.9,1.99
1780606813.123,772.7,16394,8.3,1.99
1780606813.243,772.7,16394,16.6,1.99
1780606813.393,772.7,16394,46.7,1.99
1780606813.514,772.7,16394,16.6,1.99
1780606813.634,772.7,16394,24.9,1.99
1780606813.755,772.7,16394,8.3,1.99
1780606813.875,772.7,16394,24.9,1.99
1780606813.996,772.7,16394,8.3,1.99
1780606814.116,772.7,16394,16.6,1.99
1780606814.237,772.7,16394,16.6,1.99
1780606814.357,772.7,16394,24.9,1.99
1780606814.476,772.7,16394,8.4,1.99
1780606814.595,772.7,16394,16.8,1.99
1780606814.715,772.7,16394,25.1,1.99
1780606814.834,772.7,16394,8.4,1.99
1780606814.952,772.7,16394,25.2,1.99
1780606815.071,772.7,16394,8.5,1.99
1780606815.187,772.7,16394,17.1,1.99
1780606815.307,772.7,16394,16.7,1.99
1780606815.427,772.7,16394,16.6,1.99
1780606815.547,772.7,16394,25.1,1.99
1780606815.664,772.7,16394,8.5,1.99
1780606815.780,772.7,16394,17.2,1.99
1780606815.897,772.7,16394,8.5,1.99
1780606816.016,772.7,16394,16.8,1.99
1780606816.135,772.7,16394,16.8,1.99
1780606816.252,772.7,16394,17.1,1.99
1780606816.369,772.7,16394,8.6,1.99
1780606816.485,772.7,16394,17.2,1.99
1780606816.606,772.7,16394,16.6,1.99
1780606816.725,772.7,16394,16.7,1.99
1780606817.021,772.7,16394,67.7,78.11
1780606817.141,772.8,16394,16.7,78.11
1780606817.259,772.8,16394,16.9,78.11
1780606817.375,772.8,16394,17.3,78.11
1780606817.491,772.8,16394,8.7,78.11
1780606817.606,772.8,16394,8.7,78.11
1780606817.722,772.8,16394,26.0,78.11
1780606817.837,772.8,16394,8.7,78.11
1780606817.953,772.8,16394,8.6,78.11
1780606818.070,772.8,16394,17.2,78.11
1780606818.186,772.8,16394,17.2,78.11
1780606818.302,772.8,16394,17.2,78.11
1780606818.418,772.8,16394,8.6,1.99
1780606818.535,772.8,16394,17.2,1.46
1780606818.651,772.8,16394,17.1,1.46
1780606818.772,772.8,16394,8.3,1.46
1780606818.893,772.8,16394,24.9,1.46
1780606819.013,772.8,16394,16.6,1.46
1780606819.134,772.8,16394,8.3,1.46
1780606819.255,772.8,16394,24.9,1.46
1780606819.375,772.8,16394,8.3,0.67
1780606819.496,772.8,16394,24.9,0.67
1780606819.616,772.8,16394,8.3,0.65
1780606819.736,772.8,16394,16.7,0.65
1780606819.855,772.8,16394,25.1,0.59
1780606819.975,772.8,16394,16.7,0.59
