t,tcp_inuse,tcp_tw,tcp_orphan,file_nr_used,loadavg_1m
1780606177.363,1449,498,0,6912,1.79
1780606178.364,9341,498,0,14208,1.79
1780606179.364,17837,496,0,22656,1.79
1780606180.364,17837,496,0,22656,1.73
1780606181.365,17837,434,0,22656,1.73
1780606182.365,17837,434,0,22848,1.73
1780606183.365,17837,434,0,22848,1.73
1780606184.366,17837,434,0,22848,1.73
1780606185.366,18103,433,0,24960,1.83
1780606186.366,18103,433,0,25728,1.83
1780606187.367,18103,432,0,28224,1.83
1780606188.367,29332,432,0,32832,1.83
1780606189.367,32130,432,0,36096,1.83
1780606190.368,34295,432,0,37440,1.92
1780606191.368,34652,432,0,37440,1.92
1780606192.368,34653,432,0,37440,1.92
1780606193.369,34654,432,0,37440,1.92
1780606194.369,35640,433,0,38016,1.92
1780606195.369,40111,433,0,41472,1.93
1780606196.369,40119,433,0,42048,1.93
1780606197.370,42923,432,0,46656,1.93
1780606198.370,45177,432,0,47616,1.93
1780606199.370,45305,432,0,47616,1.93
1780606200.371,34020,6070,0,36480,1.94
1780606201.371,34494,6070,0,36672,1.94
1780606202.371,33956,6516,49,36096,1.94
1780606203.372,33431,6773,1,35712,1.94
1780606204.372,32315,7296,0,34752,1.94
1780606205.373,33229,7155,0,35520,2.02
1780606206.373,34124,7181,0,35904,2.02
1780606207.373,34183,7181,0,36480,2.02
1780606208.374,34183,7181,0,36480,2.02
1780606209.374,34285,7181,0,36480,2.02
1780606210.374,33407,7619,0,35904,2.18
1780606211.375,32771,7609,0,35904,2.18
1780606212.375,32771,7609,0,35904,2.18
1780606213.375,32771,7609,0,35136,2.18
1780606214.376,33292,7608,0,35520,2.18
1780606215.376,33145,7756,1,35328,2.08
1780606216.377,32893,7812,0,35520,2.08
1780606217.377,35033,7773,0,36864,2.08
1780606218.377,34545,8268,31,36672,2.08
1780606219.378,34431,8380,0,36672,2.08
1780606220.378,35119,8375,0,37248,2.08
1780606221.379,36920,8314,0,38400,2.08
1780606222.379,37818,8210,0,38976,2.08
1780606223.379,37342,8686,0,39168,2.08
1780606224.380,37195,8630,9,39168,2.08
1780606225.380,37174,8643,0,39168,1.99
1780606226.380,36541,9274,0,38592,1.99
1780606227.381,35963,9423,0,37824,1.99
1780606228.381,36039,9398,0,37824,1.99
1780606229.381,36467,9318,0,38208,1.99
1780606230.382,33854,10880,0,35520,2.07
1780606231.382,34192,10813,0,36096,2.07
1780606232.383,34387,10754,0,36864,2.07
1780606233.383,34387,10754,0,36864,2.07
1780606234.383,34387,10753,0,36864,2.07
1780606235.384,34677,10780,23,37056,1.99
1780606236.384,33251,12198,0,35712,1.99
1780606237.384,32352,13099,0,34944,1.99
1780606238.385,30059,13067,0,32640,1.99
1780606239.385,31552,12898,0,33216,1.99
1780606240.386,29810,13835,0,31488,1.99
1780606241.386,29810,13836,0,31680,1.99
1780606242.386,30964,13568,0,33024,1.99
1780606243.387,30965,13569,0,33024,1.99
1780606244.387,31691,13569,0,33600,1.99
1780606245.387,32687,13549,0,34560,1.99
1780606246.388,32971,13542,0,34752,1.99
1780606247.388,32971,13542,0,34752,1.99
1780606248.388,32634,13542,0,34752,1.99
1780606249.389,32832,13542,0,34944,1.99
1780606250.389,33192,13534,0,35712,2.07
1780606251.390,33235,13534,0,35904,2.07
1780606252.390,33227,13542,0,35904,2.07
1780606253.390,32977,13620,0,35136,2.07
1780606254.391,33633,13533,0,35904,2.07
1780606255.391,33635,13532,0,35904,2.14
1780606256.391,32750,14417,0,35136,2.14
1780606257.391,32214,14360,0,34368,2.14
1780606258.392,33164,14274,0,35136,2.14
1780606259.392,33166,14274,0,35136,2.14
1780606260.392,33018,14274,0,35136,2.05
1780606261.393,32816,9403,0,35136,2.05
1780606262.393,33838,9267,0,36480,2.05
1780606263.393,34486,9296,1,37056,2.05
1780606264.394,34485,9298,0,37056,2.05
1780606265.394,34332,8806,0,36864,1.97
1780606266.395,35200,8789,0,37632,1.97
1780606267.395,37396,8459,0,38976,1.97
1780606268.395,37486,8460,0,38976,1.97
1780606269.396,37486,8460,0,39936,1.97
1780606270.396,37492,8460,0,40320,1.89
1780606271.396,37988,8008,0,40512,1.89
1780606272.397,37145,9180,10,39360,1.89
1780606273.397,35953,9189,0,38208,1.89
1780606274.398,34874,10268,49,37248,1.89
1780606275.398,34021,10314,0,36288,1.98
1780606276.398,36596,10306,0,37440,1.98
1780606277.399,32998,12110,0,34176,1.98
1780606278.399,33839,12009,0,35712,1.98
1780606279.399,33840,12010,0,35712,1.98
1780606280.400,33850,12010,0,35712,2.06
1780606281.400,33856,11546,0,35712,2.06
1780606282.401,32060,13341,53,34176,2.06
1780606283.401,29445,14260,48,31488,2.06
1780606284.401,28147,14312,0,31296,2.06
1780606285.402,30560,13591,0,32256,1.98
1780606286.402,30497,13654,0,32256,1.98
1780606287.402,31312,12920,0,32640,1.98
1780606288.403,32558,12757,0,33792,1.98
1780606289.403,32359,12757,0,34176,1.98
1780606290.403,34953,12179,0,36672,1.90
1780606291.404,35545,12178,0,37056,1.90
1780606292.404,35564,10482,0,37056,1.90
1780606293.405,35564,10482,0,37056,1.90
1780606294.405,33396,11295,0,34944,1.90
1780606295.405,33406,11295,0,35328,2.07
1780606296.406,33413,11316,13,35520,2.07
