t,tcp_inuse,tcp_tw,tcp_orphan,file_nr_used,loadavg_1m
1780610662.402,1563,758,0,6336,8.01
1780610663.402,1965,758,0,6336,8.01
1780610664.403,1965,719,0,6336,7.77
1780610665.403,1965,719,0,6336,7.77
1780610666.403,1965,718,0,6336,7.77
1780610667.403,1965,718,0,6336,7.77
1780610668.403,1937,729,0,6336,7.77
1780610669.404,1932,731,2,6336,7.39
1780610670.404,1906,741,1,6336,7.39
1780610671.404,1887,753,0,6336,7.39
1780610672.404,1857,745,2,6336,7.39
1780610673.404,1831,763,0,6336,7.39
1780610674.405,1789,776,3,6336,7.28
1780610675.405,1763,785,0,6336,7.28
1780610676.405,1759,791,0,6336,7.28
1780610677.405,1755,795,0,6336,7.28
1780610678.405,1747,778,0,6336,7.28
1780610679.406,1755,781,0,6336,6.86
1780610680.406,1755,596,6,6336,6.86
1780610681.406,1745,604,0,6336,6.86
1780610682.406,1757,605,0,6336,6.86
1780610683.406,1785,598,0,6336,6.86
1780610684.407,1797,598,0,6336,6.47
1780610685.407,1805,598,0,6336,6.47
1780610686.407,1805,598,0,6336,6.47
1780610687.407,1809,598,0,6336,6.47
1780610688.407,1809,598,0,6336,6.47
1780610689.408,1809,537,0,6336,6.11
1780610690.408,1800,540,0,6336,6.11
1780610691.408,1783,544,0,6336,6.11
1780610692.408,1773,546,0,6336,6.11
1780610693.408,1775,547,0,6336,6.11
1780610694.409,1773,549,0,6336,5.78
1780610695.409,1765,553,0,6336,5.78
1780610696.409,1767,553,0,6336,5.78
1780610697.409,1775,553,0,6336,5.78
1780610698.410,1783,553,0,6336,5.78
1780610699.410,1787,553,0,6336,5.56
1780610700.410,1791,553,0,6336,5.56
1780610701.410,1791,553,0,6336,5.56
1780610702.411,1791,553,0,6336,5.56
1780610703.411,1791,552,0,6336,5.56
1780610704.411,1789,553,0,6336,5.27
1780610705.411,1781,553,0,6336,5.27
1780610706.411,1781,553,0,6336,5.27
1780610707.412,1781,552,0,6336,5.27
1780610708.412,1773,554,0,6336,5.27
1780610709.412,1773,552,0,6336,5.01
1780610710.412,1773,552,0,6336,5.01
1780610711.412,1779,550,0,6336,5.01
1780610712.413,1779,550,0,6336,5.01
1780610713.413,1779,543,0,6336,5.01
1780610714.413,1779,543,0,6336,4.93
1780610715.413,1783,143,0,6336,4.93
1780610716.413,1787,143,0,6336,4.93
1780610717.414,1785,142,0,6336,4.93
1780610718.414,1785,143,0,6336,4.93
1780610719.414,1763,152,0,6336,4.69
1780610720.414,1745,162,0,6336,4.69
1780610721.415,1713,175,0,6336,4.69
1780610722.415,1686,189,0,6336,4.69
1780610723.415,1659,202,0,6336,4.69
1780610724.415,1633,215,0,6336,4.56
1780610725.415,1625,220,0,6336,4.56
