t,rss_mb,num_fds,cpu_pct,loop_lag_p99_ms
1780610770.601,131.9,12,688.7,0.00
1780610770.702,132.8,74,9.9,100.91
1780610770.802,132.8,74,0.0,0.13
1780610770.902,132.8,74,0.0,0.13
1780610771.002,132.8,74,0.0,0.13
1780610771.102,132.8,74,0.0,0.13
1780610771.202,132.8,74,0.0,0.13
1780610771.303,132.8,74,0.0,0.13
1780610771.403,132.8,74,0.0,0.13
1780610771.503,132.8,74,0.0,0.13
1780610771.603,132.8,74,0.0,0.13
1780610771.703,132.8,74,0.0,0.13
1780610771.803,132.8,74,0.0,0.13
1780610771.903,132.8,74,0.0,0.13
1780610772.004,132.8,74,0.0,0.13
1780610772.104,132.8,74,0.0,0.13
1780610772.204,132.8,74,0.0,0.13
1780610772.304,132.8,74,0.0,0.13
1780610772.404,132.8,74,0.0,0.13
1780610772.504,132.8,74,0.0,0.13
1780610772.604,132.8,74,0.0,0.13
1780610772.705,132.8,74,0.0,0.13
1780610772.805,132.8,74,0.0,0.13
1780610772.905,132.8,74,0.0,0.13
1780610773.005,132.8,74,0.0,0.13
1780610773.105,131.3,74,49.9,0.84
1780610773.205,131.3,74,0.0,0.84
1780610773.305,131.3,74,0.0,0.84
1780610773.406,131.3,74,0.0,0.84
1780610773.506,131.3,74,0.0,0.84
1780610773.606,131.3,74,0.0,0.84
1780610773.706,131.3,74,0.0,0.84
1780610773.806,131.3,74,0.0,0.84
1780610773.906,131.3,74,0.0,0.84
1780610774.006,131.3,74,0.0,0.84
1780610774.107,131.3,74,0.0,0.84
1780610774.207,131.3,74,0.0,0.84
1780610774.307,131.3,74,0.0,0.84
1780610774.407,131.3,74,0.0,0.84
1780610774.507,132.6,74,0.0,0.84
1780610774.607,153.4,74,39.9,0.84
1780610774.708,153.4,74,0.0,0.84
1780610774.808,153.4,74,0.0,0.84
1780610774.908,153.4,74,0.0,0.84
1780610775.008,154.4,74,49.9,0.84
1780610775.108,154.4,74,0.0,0.84
1780610775.208,154.4,74,0.0,0.84
1780610775.309,154.4,74,0.0,0.84
1780610775.409,154.4,74,0.0,0.84
1780610775.509,154.4,74,0.0,0.84
1780610775.609,154.4,74,0.0,0.84
1780610775.709,154.4,74,0.0,0.84
1780610775.809,154.4,74,0.0,0.84
1780610775.909,154.4,74,0.0,0.84
1780610776.010,154.4,74,0.0,0.84
1780610776.110,154.4,74,0.0,0.84
1780610776.210,154.4,74,0.0,0.84
1780610776.310,154.4,74,0.0,0.84
1780610776.410,154.4,74,0.0,0.84
1780610776.510,154.4,74,0.0,0.84
1780610776.610,154.4,74,0.0,0.84
1780610776.710,154.4,74,0.0,0.84
1780610776.811,154.4,74,0.0,0.84
1780610776.911,154.4,74,0.0,0.84
1780610777.011,154.4,74,0.0,0.84
1780610777.111,154.4,74,0.0,0.75
1780610777.211,154.4,74,0.0,0.75
1780610777.311,154.4,74,0.0,0.75
1780610777.411,154.4,74,0.0,0.75
1780610777.512,154.4,74,0.0,0.75
1780610777.612,154.4,74,0.0,0.75
1780610777.712,154.4,74,0.0,0.75
1780610777.812,154.4,74,0.0,0.75
1780610777.912,154.4,74,0.0,0.75
1780610778.012,154.4,74,0.0,0.75
1780610778.112,154.4,74,0.0,0.75
1780610778.223,155.3,74,36.2,0.84
1780610778.323,155.3,74,0.0,0.84
1780610778.423,155.3,74,0.0,0.84
1780610778.524,155.3,74,0.0,0.84
1780610778.624,155.3,74,0.0,0.84
1780610778.724,155.3,74,0.0,0.84
1780610778.824,155.3,74,0.0,0.84
1780610778.924,155.3,74,0.0,0.84
1780610779.024,155.3,74,0.0,0.84
1780610779.140,156.3,74,43.1,10.69
1780610779.240,156.3,74,0.0,10.69
1780610779.340,156.3,74,0.0,10.69
1780610779.441,156.3,74,0.0,10.69
1780610779.541,156.3,74,0.0,10.69
1780610779.641,156.3,74,0.0,10.69
1780610779.741,156.3,74,0.0,10.69
1780610779.841,156.3,74,0.0,10.69
1780610779.941,156.3,74,0.0,10.69
