t,tcp_inuse,tcp_tw,tcp_orphan,file_nr_used,loadavg_1m
1780610751.296,1455,496,0,5568,5.41
1780610752.297,1461,493,0,5568,5.41
1780610753.297,1461,493,0,5568,5.06
1780610754.297,1461,492,0,5568,5.06
1780610755.298,1461,492,0,5568,5.06
1780610756.298,1461,493,0,5568,5.06
1780610757.298,1461,493,0,5760,5.06
1780610758.298,1461,493,0,5760,4.73
1780610759.299,1461,493,0,5760,4.73
1780610760.299,1461,493,0,5760,4.73
1780610761.299,1461,493,0,5760,4.73
1780610762.299,1461,494,0,5760,4.73
1780610763.300,1461,494,0,5760,4.43
1780610764.300,1461,494,0,5760,4.43
1780610765.300,1461,494,0,5760,4.43
1780610766.300,1461,494,0,5760,4.43
1780610767.300,1461,493,0,5760,4.43
1780610768.301,1461,494,0,5760,4.24
1780610769.301,1461,486,0,5760,4.24
1780610770.301,1461,486,0,5760,4.24
1780610771.301,1461,483,0,5760,4.24
1780610772.301,1461,483,0,5760,4.24
1780610773.302,1461,483,0,5760,3.98
1780610774.302,1461,483,0,5760,3.98
1780610775.302,1461,422,0,5760,3.98
1780610776.302,1461,422,0,5760,3.98
1780610777.303,1461,422,0,5760,3.98
1780610778.303,1461,422,0,5760,3.74
1780610779.303,1461,422,0,5760,3.74
1780610780.303,1461,422,0,5760,3.74
1780610781.304,1461,421,0,5760,3.74
1780610782.304,1461,421,0,5760,3.74
1780610783.304,1461,420,0,5760,3.44
1780610784.304,1461,420,0,5760,3.44
1780610785.304,1461,420,0,5760,3.44
1780610786.305,1461,421,0,5760,3.44
1780610787.305,1461,420,0,5760,3.44
1780610788.305,1461,420,0,5760,3.24
1780610789.305,1461,420,0,5760,3.24
1780610790.306,1461,421,0,5760,3.24
1780610791.306,1461,421,0,5760,3.24
1780610792.306,1461,421,0,5760,3.24
1780610793.306,1461,421,0,5760,3.06
1780610794.307,1461,421,0,5760,3.06
1780610795.307,1461,419,0,5760,3.06
1780610796.307,1461,419,0,5760,3.06
1780610797.307,1461,418,0,5760,3.06
1780610798.307,1461,418,0,5760,2.90
1780610799.308,1461,418,0,5760,2.90
1780610800.308,1461,419,0,5760,2.90
