t,rss_mb,num_fds,cpu_pct,loop_lag_p99_ms
1780610693.836,130.9,11,0.0,0.00
1780610693.936,130.9,11,0.0,100.83
1780610694.036,130.9,11,0.0,0.14
1780610694.137,130.9,11,0.0,0.14
1780610694.237,130.9,11,0.0,0.14
1780610694.337,130.9,11,0.0,0.14
1780610694.437,130.9,11,0.0,0.14
1780610694.537,130.9,11,0.0,0.14
1780610694.637,130.9,11,0.0,0.14
1780610694.737,130.9,11,0.0,0.14
1780610694.837,130.9,11,0.0,0.14
1780610694.938,130.9,11,0.0,0.14
1780610695.038,130.9,11,0.0,0.14
1780610695.138,130.9,11,0.0,0.14
1780610695.238,130.9,11,0.0,0.14
1780610695.338,130.9,11,0.0,0.14
1780610695.438,130.9,11,0.0,0.14
1780610695.539,136.4,11,20.0,0.45
1780610695.639,136.4,11,0.0,0.45
1780610695.739,136.4,11,0.0,0.45
1780610695.839,136.4,11,0.0,0.45
1780610695.939,136.4,11,0.0,0.45
1780610696.039,136.4,11,0.0,0.45
1780610696.140,136.4,11,0.0,0.45
1780610696.240,136.4,11,0.0,0.45
1780610696.340,136.4,11,0.0,0.45
1780610696.440,136.4,11,0.0,0.45
1780610696.540,136.4,11,0.0,0.45
1780610696.640,136.4,11,0.0,0.45
1780610696.740,136.4,11,0.0,0.45
1780610696.840,136.4,11,0.0,0.45
1780610696.941,136.4,11,0.0,0.45
1780610697.041,136.4,11,0.0,0.45
1780610697.141,136.4,11,0.0,0.45
1780610697.241,137.4,11,10.0,0.45
1780610697.341,137.4,11,0.0,0.45
1780610697.441,137.4,11,0.0,0.45
1780610697.541,137.4,11,0.0,0.45
1780610697.642,137.4,11,0.0,0.45
1780610697.742,137.4,11,0.0,0.45
1780610697.842,137.4,11,0.0,0.45
1780610697.942,137.4,11,0.0,0.45
1780610698.042,137.4,11,0.0,0.45
1780610698.142,137.4,11,0.0,0.45
1780610698.242,137.4,11,0.0,0.45
1780610698.343,137.4,11,0.0,0.45
1780610698.443,137.4,11,0.0,0.45
1780610698.543,137.4,11,0.0,0.45
1780610698.643,137.4,11,0.0,0.45
1780610698.743,137.4,11,0.0,0.45
1780610698.843,137.4,11,0.0,0.45
1780610698.943,137.4,11,10.0,0.45
1780610699.044,137.4,11,0.0,0.45
1780610699.144,137.4,11,0.0,0.45
1780610699.244,137.4,11,0.0,0.45
1780610699.344,137.4,11,0.0,0.45
1780610699.444,137.4,11,0.0,0.45
1780610699.544,137.4,11,0.0,0.45
1780610699.644,137.4,11,0.0,0.45
1780610699.744,137.4,11,0.0,0.45
1780610699.845,137.4,11,0.0,0.45
1780610699.945,137.4,11,0.0,0.45
1780610700.045,137.4,11,0.0,0.45
1780610700.145,137.4,11,0.0,0.45
1780610700.245,137.4,11,0.0,0.45
1780610700.345,137.4,11,0.0,0.33
1780610700.445,137.4,11,0.0,0.33
1780610700.545,137.9,11,10.0,0.37
1780610700.646,137.9,11,0.0,0.37
1780610700.746,137.9,11,0.0,0.37
1780610700.846,137.9,11,0.0,0.37
1780610700.946,137.9,11,0.0,0.37
1780610701.046,137.9,11,0.0,0.37
1780610701.146,137.9,11,0.0,0.37
1780610701.247,137.9,11,0.0,0.37
1780610701.347,137.9,11,0.0,0.37
1780610701.447,137.9,11,0.0,0.37
1780610701.547,137.9,11,0.0,0.37
1780610701.647,137.9,11,0.0,0.37
1780610701.747,137.9,11,0.0,0.37
1780610701.847,137.9,11,0.0,0.37
1780610701.948,137.9,11,0.0,0.33
1780610702.048,137.9,11,0.0,0.33
1780610702.148,137.9,11,10.0,0.37
1780610702.248,137.9,11,0.0,0.37
1780610702.348,137.9,11,0.0,0.37
1780610702.448,137.9,11,0.0,0.37
1780610702.548,137.9,11,0.0,0.37
1780610702.649,137.9,11,0.0,0.37
1780610702.749,137.9,11,0.0,0.37
1780610702.849,137.9,11,0.0,0.37
1780610702.949,137.9,11,0.0,0.37
1780610703.049,137.9,11,0.0,0.37
1780610703.149,137.9,11,0.0,0.37
1780610703.249,137.9,11,0.0,0.37
1780610703.350,137.9,11,0.0,0.37
1780610703.450,137.9,11,0.0,0.37
1780610703.550,137.9,11,0.0,0.37
1780610703.650,137.9,11,0.0,0.37
1780610703.750,137.9,11,0.0,0.37
1780610703.850,137.9,11,20.0,1.63
1780610703.950,137.9,11,0.0,1.63
1780610704.051,137.9,11,0.0,1.63
1780610704.151,137.9,11,0.0,1.63
1780610704.251,137.9,11,0.0,1.63
1780610704.351,137.9,11,0.0,1.63
1780610704.451,137.9,11,0.0,1.63
1780610704.551,137.9,11,0.0,1.63
1780610704.651,137.9,11,0.0,1.63
1780610704.751,137.9,11,0.0,1.63
1780610704.851,137.9,11,0.0,1.63
1780610704.952,137.9,11,0.0,1.63
1780610705.052,137.9,11,0.0,1.63
1780610705.152,137.9,11,0.0,1.63
1780610705.252,137.9,11,0.0,1.63
