t,tcp_inuse,tcp_tw,tcp_orphan,file_nr_used,loadavg_1m
1780612300.437,1477,779,0,4992,7.29
1780612301.437,5583,721,0,7488,7.29
1780612302.437,6523,721,0,8448,7.29
1780612303.437,7819,681,0,10176,6.79
1780612304.438,8723,681,0,11328,6.79
1780612305.438,8723,641,0,11328,6.79
1780612306.438,8653,676,0,11328,6.79
1780612307.438,7767,1082,0,10944,6.79
1780612308.438,7621,1155,0,10560,6.32
1780612309.438,7621,1131,0,10560,6.32
1780612310.438,7621,1132,0,10560,6.32
1780612311.438,7621,1112,0,10560,6.32
1780612312.438,7621,1112,0,10560,6.32
1780612313.438,7621,1112,0,10560,5.90
1780612314.439,7621,1094,0,10560,5.90
1780612315.439,7621,1094,0,10560,5.90
1780612316.439,7621,1094,0,10560,5.90
1780612317.439,7621,1095,0,10560,5.90
1780612318.439,7621,1095,0,10560,5.51
1780612319.439,7621,1095,0,10560,5.51
1780612320.439,7621,1095,0,10560,5.51
1780612321.439,7621,1095,0,10560,5.51
1780612322.439,7621,1096,0,10560,5.51
1780612323.439,7621,1097,0,10560,5.14
1780612324.439,7621,1042,0,10560,5.14
1780612325.440,7621,1042,0,10560,5.14
1780612326.440,7655,981,0,10752,5.14
1780612327.440,7655,982,0,10752,5.14
1780612328.440,7655,982,0,10752,4.81
1780612329.440,7655,983,0,10944,4.81
1780612330.440,7655,982,0,10944,4.81
1780612331.440,6731,1907,0,10368,4.81
1780612332.440,6730,1908,3,10560,4.81
1780612333.440,6902,1898,0,10560,4.51
1780612334.440,7188,1897,0,10560,4.51
1780612335.440,7214,1913,94,10560,4.51
1780612336.441,7120,2007,0,10560,4.51
1780612337.441,7111,2007,0,10560,4.51
1780612338.441,7214,1986,0,10560,4.31
1780612339.441,7320,1986,0,10560,4.31
1780612340.441,7320,1986,0,10560,4.31
1780612341.441,7307,1986,0,10560,4.31
1780612342.441,7202,1880,0,10752,4.31
1780612343.441,7363,1940,0,10944,4.04
1780612344.441,7330,1904,0,11136,4.04
1780612345.441,6947,2121,0,10944,4.04
1780612346.441,6948,2010,0,10944,4.04
1780612347.442,7406,2010,0,11136,4.04
1780612348.442,7496,2020,0,11136,3.88
1780612349.442,7858,1934,0,11328,3.88
1780612350.442,8247,1605,0,11328,3.88
