t,tcp_inuse,tcp_tw,tcp_orphan,file_nr_used,loadavg_1m
1780605579.298,1477,1225,0,6720,3.99
1780605580.298,6773,1143,0,9984,3.99
1780605581.298,8321,922,0,11328,3.99
1780605582.299,9405,922,0,12480,3.91
1780605583.299,9997,783,0,13056,3.91
1780605584.299,10393,784,0,13440,3.91
1780605585.299,10943,735,0,13824,3.91
1780605586.299,11809,736,0,14592,3.91
1780605587.299,12395,644,0,15168,3.84
1780605588.299,12401,644,0,15168,3.84
1780605589.300,12401,638,0,15552,3.84
1780605590.300,12063,780,0,15744,3.84
1780605591.300,12047,705,0,15744,3.84
1780605592.300,12047,705,0,15744,3.77
1780605593.300,12055,711,0,15936,3.77
1780605594.300,12695,753,0,16512,3.77
1780605595.300,13137,774,0,16896,3.77
1780605596.301,13527,871,0,17472,3.77
1780605597.301,13481,894,20,17472,3.63
1780605598.301,13375,947,0,17280,3.63
1780605599.301,13255,1007,0,17280,3.63
1780605600.301,13230,1021,0,17088,3.63
1780605601.301,13233,944,0,17088,3.63
1780605602.301,13235,956,0,17088,3.50
1780605603.302,13235,890,0,17088,3.50
1780605604.302,13235,890,0,17280,3.50
1780605605.302,12821,1304,0,17664,3.50
1780605606.302,12438,1688,0,18048,3.50
1780605607.302,13227,1638,0,18240,3.46
1780605608.302,13016,1714,0,18240,3.46
1780605609.303,13445,1717,0,18240,3.46
1780605610.303,13479,1718,0,18432,3.46
1780605611.303,13479,1718,0,18432,3.46
1780605612.303,13479,1718,0,18624,3.34
1780605613.303,13479,1718,0,18624,3.34
1780605614.303,13479,1718,0,18624,3.34
1780605615.304,12631,2566,4,18240,3.34
1780605616.304,12752,2714,0,17472,3.34
1780605617.304,12743,2714,0,17472,3.31
1780605618.304,12743,2713,0,17472,3.31
1780605619.304,12949,2683,0,17472,3.31
1780605620.304,12949,2683,0,17472,3.31
1780605621.304,12949,2683,0,17664,3.31
1780605622.305,12949,2681,0,17664,3.29
1780605623.305,12949,2681,0,17856,3.29
1780605624.305,12042,3587,0,17280,3.29
1780605625.305,12038,3591,0,17280,3.29
1780605626.305,12896,3481,0,17472,3.29
1780605627.305,12663,3605,0,17280,3.26
1780605628.306,12663,3420,0,17472,3.26
1780605629.306,12959,3592,0,17856,3.26
1780605630.306,12888,3449,0,17856,3.26
1780605631.306,12755,3475,0,17856,3.26
1780605632.306,12486,3455,0,17856,3.16
1780605633.306,12486,3455,0,18048,3.16
1780605634.307,12466,3473,3,18240,3.16
1780605635.307,11546,4387,0,17472,3.16
1780605636.307,11491,4441,40,17472,3.16
1780605637.307,11491,4441,43,17472,3.07
1780605638.307,12275,4278,1,16704,3.07
1780605639.307,12268,4285,4,16704,3.07
1780605640.308,11651,4644,29,16320,3.07
1780605641.308,11662,4647,5,16320,3.07
