t,rss_mb,num_fds,cpu_pct,loop_lag_p99_ms
1780605579.271,132.2,37,0.0,0.00
1780605580.271,139.5,38,2.0,0.00
1780605581.272,139.5,38,0.0,0.00
1780605582.272,139.5,38,0.0,0.00
1780605583.272,139.5,38,0.0,0.00
1780605584.272,139.5,38,0.0,0.00
1780605585.272,139.5,38,0.0,0.00
1780605586.273,139.5,38,0.0,0.00
1780605587.273,139.6,38,0.0,0.00
1780605588.273,139.6,38,1.0,0.00
1780605589.273,139.6,38,0.0,0.00
1780605590.273,139.6,39,1.0,0.00
1780605591.274,139.6,39,0.0,0.00
1780605592.274,139.6,39,0.0,0.00
1780605593.274,139.6,39,0.0,0.00
1780605594.274,139.6,39,0.0,0.00
1780605595.274,139.6,39,1.0,0.00
1780605596.275,139.6,39,0.0,0.00
1780605597.275,139.6,39,0.0,0.00
1780605598.275,139.6,39,2.0,0.00
1780605599.275,139.6,39,0.0,0.00
1780605600.275,139.6,39,0.0,0.00
1780605601.276,139.6,39,0.0,0.00
1780605602.276,139.6,39,0.0,0.00
1780605603.276,139.6,39,0.0,0.00
1780605604.276,139.6,39,0.0,0.00
1780605605.276,139.6,39,1.0,0.00
1780605606.277,139.6,39,0.0,0.00
1780605607.277,139.6,39,0.0,0.00
1780605608.277,139.6,39,0.0,0.00
1780605609.277,139.6,39,0.0,0.00
1780605610.277,139.6,39,0.0,0.00
1780605611.277,139.6,39,0.0,0.00
1780605612.278,139.6,39,0.0,0.00
1780605613.278,139.6,39,1.0,0.00
1780605614.278,139.6,39,0.0,0.00
1780605615.278,139.6,39,0.0,0.00
1780605616.278,139.6,39,0.0,0.00
1780605617.278,139.6,39,0.0,0.00
1780605618.279,139.6,39,1.0,0.00
1780605619.279,139.6,39,0.0,0.00
1780605620.279,139.6,39,0.0,0.00
1780605621.279,139.6,39,0.0,0.00
1780605622.279,139.6,39,0.0,0.00
1780605623.280,139.6,39,0.0,0.00
1780605624.280,139.6,39,0.0,0.00
1780605625.280,139.6,39,0.0,0.00
1780605626.280,139.6,39,0.0,0.00
1780605627.280,139.6,39,1.0,0.00
1780605628.280,139.6,39,0.0,0.00
1780605629.281,139.6,39,0.0,0.00
1780605630.281,139.6,39,0.0,0.00
1780605631.281,139.6,39,0.0,0.00
1780605632.281,139.6,39,0.0,0.00
1780605633.281,139.6,39,0.0,0.00
1780605634.281,139.6,39,0.0,0.00
1780605635.282,139.6,39,0.0,0.00
1780605636.282,139.6,39,0.0,0.00
1780605637.282,139.6,39,1.0,0.00
1780605638.282,139.6,39,0.0,0.00
1780605639.282,139.6,39,0.0,0.00
1780605640.283,139.6,39,0.0,0.00
1780605641.283,139.6,39,0.0,0.00
1780605642.283,139.6,39,0.0,0.00
1780605643.283,139.6,39,1.0,0.00
1780605644.283,139.6,39,1.0,0.00
1780605645.283,139.6,39,1.0,0.00
1780605646.284,139.6,39,0.0,0.00
1780605647.284,139.6,39,0.0,0.00
1780605648.284,139.6,39,0.0,0.00
1780605649.284,139.6,39,0.0,0.00
1780605650.285,139.6,39,0.0,0.00
1780605651.285,139.6,39,0.0,0.00
1780605652.285,139.6,39,0.0,0.00
1780605653.285,139.6,39,0.0,0.00
1780605654.285,139.6,39,0.0,0.00
1780605655.285,139.6,39,0.0,0.00
1780605656.286,139.6,39,0.0,0.00
1780605657.286,139.6,39,0.0,0.00
1780605658.286,139.6,39,0.0,0.00
1780605659.286,139.6,39,0.0,0.00
1780605660.286,139.6,39,1.0,0.00
1780605661.287,139.6,39,0.0,0.00
1780605662.287,139.6,39,0.0,0.00
1780605663.287,139.6,39,0.0,0.00
1780605664.287,139.6,39,0.0,0.00
1780605665.287,139.6,39,0.0,0.00
1780605666.287,139.6,39,0.0,0.00
1780605667.288,139.6,39,0.0,0.00
1780605668.288,139.6,39,0.0,0.00
1780605669.288,139.6,39,1.0,0.00
1780605670.288,139.6,39,0.0,0.00
1780605671.288,139.6,39,0.0,0.00
1780605672.289,139.6,39,0.0,0.00
1780605673.289,139.6,39,0.0,0.00
1780605674.289,139.6,39,0.0,0.00
1780605675.289,139.6,39,0.0,0.00
1780605676.289,139.6,39,0.0,0.00
1780605677.290,139.6,39,1.0,0.00
1780605678.290,139.6,39,0.0,0.00
1780605679.290,139.6,39,0.0,0.00
1780605680.290,139.6,39,0.0,0.00
1780605681.290,139.6,39,0.0,0.00
1780605682.290,139.9,39,0.0,0.00
1780605683.291,139.9,39,2.0,0.00
1780605684.291,139.9,39,0.0,0.00
1780605685.291,139.9,39,0.0,0.00
1780605686.291,139.9,39,0.0,0.00
1780605687.291,139.9,39,0.0,0.00
1780605688.292,139.9,39,0.0,0.00
1780605689.292,139.9,39,0.0,0.00
1780605690.292,139.9,39,0.0,0.00
1780605691.292,139.9,39,0.0,0.00
1780605692.292,139.9,39,1.0,0.00
1780605693.293,139.9,39,0.0,0.00
1780605694.293,139.9,39,0.0,0.00
1780605695.293,139.9,39,0.0,0.00
1780605696.293,139.9,39,1.0,0.00
1780605697.293,139.9,39,0.0,0.00
1780605698.294,139.9,39,4.0,0.00
1780605699.294,139.9,39,0.0,0.00
1780605700.294,139.9,39,0.0,0.00
1780605701.294,139.9,39,0.0,0.00
1780605702.295,139.9,39,0.0,0.00
1780605703.295,139.9,39,0.0,0.00
1780605704.295,139.9,39,0.0,0.00
1780605705.295,139.9,39,0.0,0.00
1780605706.295,139.9,39,1.0,0.00
1780605707.296,139.9,39,3.0,0.00
1780605708.296,139.9,39,0.0,0.00
1780605709.296,139.9,39,0.0,0.00
1780605710.296,139.9,39,0.0,0.00
1780605711.296,139.9,39,0.0,0.00
1780605712.297,139.9,39,0.0,0.00
1780605713.297,139.9,39,1.0,0.00
1780605714.297,139.9,39,0.0,0.00
1780605715.297,139.9,39,2.0,0.00
