t,tcp_inuse,tcp_tw,tcp_orphan,file_nr_used,loadavg_1m
1780610608.057,1509,513,0,5760,10.02
1780610609.058,1581,514,0,5760,10.02
1780610610.058,1581,514,0,5760,10.02
1780610611.058,1599,514,0,5760,10.02
1780610612.059,1599,513,0,5760,9.21
1780610613.059,1599,513,0,5760,9.21
1780610614.059,1599,513,0,5760,9.21
1780610615.059,1599,513,0,5760,9.21
1780610616.060,1601,513,0,5760,9.21
1780610617.060,1601,513,0,5760,8.56
1780610618.060,1601,513,0,5760,8.56
1780610619.060,1601,513,0,5760,8.56
1780610620.060,1601,509,0,5760,8.56
1780610621.060,1601,509,0,5760,8.56
1780610622.061,1601,501,0,5760,7.87
1780610623.061,1601,501,0,5760,7.87
1780610624.061,1601,501,0,5760,7.87
1780610625.061,1601,501,0,5760,7.87
1780610626.061,1601,500,0,5760,7.87
1780610627.062,1601,500,0,5760,7.24
1780610628.062,1601,499,0,5760,7.24
1780610629.062,1601,499,0,5760,7.24
1780610630.062,1601,499,0,5760,7.24
1780610631.062,1601,499,0,5760,7.24
1780610632.063,1601,417,0,5760,6.82
1780610633.063,1601,417,0,5760,6.82
1780610634.063,1601,417,0,5760,6.82
1780610635.063,1601,417,0,5760,6.82
1780610636.063,1601,417,0,5760,6.82
1780610637.063,1601,416,0,5760,6.51
1780610638.064,1601,416,0,5760,6.51
