t,rss_mb,num_fds,cpu_pct,loop_lag_p99_ms
1780610534.350,131.7,37,0.0,0.00
1780610535.351,133.7,37,1.0,0.00
1780610536.352,133.7,37,0.0,0.00
1780610537.352,133.7,37,0.0,0.00
1780610538.352,133.7,37,0.0,0.00
1780610539.353,133.7,37,1.0,0.00
1780610540.353,133.7,37,0.0,0.00
1780610541.353,133.7,37,0.0,0.00
1780610542.354,133.8,37,0.0,0.00
1780610543.354,133.8,37,0.0,0.00
1780610544.354,133.8,37,0.0,0.00
1780610545.355,133.8,37,1.0,0.00
1780610546.355,133.8,37,0.0,0.00
1780610547.355,133.8,37,0.0,0.00
1780610548.356,133.8,37,0.0,0.00
1780610549.356,133.8,37,0.0,0.00
1780610550.356,133.8,37,0.0,0.00
1780610551.356,133.8,37,1.0,0.00
1780610552.357,133.8,37,0.0,0.00
1780610553.357,133.8,37,0.0,0.00
1780610554.357,133.8,37,0.0,0.00
