t,tcp_inuse,tcp_tw,tcp_orphan,file_nr_used,loadavg_1m
1780605383.850,1489,439,0,7488,7.01
1780605384.851,3027,439,0,8640,7.01
1780605385.851,3027,439,0,8640,7.01
1780605386.851,3027,439,0,8640,6.53
1780605387.852,3027,439,0,8640,6.53
1780605388.852,3059,435,0,8640,6.53
1780605389.852,3065,435,0,8832,6.53
1780605390.852,3069,435,0,8832,6.53
1780605391.852,3503,436,0,9024,6.16
1780605392.853,3503,436,0,9024,6.16
1780605393.853,3503,436,0,9024,6.16
1780605394.853,3503,436,0,9024,6.16
1780605395.853,3503,436,0,9024,6.16
1780605396.854,3057,658,0,8832,5.75
1780605397.854,3017,671,0,8832,5.75
1780605398.854,3001,678,0,8832,5.75
1780605399.854,3401,687,0,8832,5.75
1780605400.854,3427,691,0,8832,5.75
1780605401.855,3407,700,0,8832,5.37
1780605402.855,3165,940,0,8832,5.37
1780605403.855,3165,940,0,8832,5.37
1780605404.855,3165,940,0,8832,5.37
1780605405.856,3076,981,0,8832,5.37
1780605406.856,3047,952,0,8832,5.10
1780605407.856,2307,1184,0,8256,5.10
1780605408.856,2313,1198,0,8256,5.10
1780605409.856,2313,1198,0,8256,5.10
1780605410.857,2313,1198,0,8256,5.10
1780605411.857,2313,1198,0,8256,4.77
1780605412.857,2313,1197,0,8256,4.77
1780605413.857,2195,1256,0,8256,4.77
1780605414.857,2081,1312,0,8064,4.77
1780605415.858,2743,1392,0,8064,4.77
1780605416.858,3327,1391,0,8832,4.39
1780605417.858,3327,1391,0,8832,4.39
1780605418.858,3327,1391,0,8832,4.39
1780605419.858,3327,1392,0,8832,4.39
1780605420.859,3252,1465,6,8832,4.39
1780605421.859,3041,1424,0,8832,4.12
1780605422.859,3489,1398,0,9024,4.12
1780605423.859,3489,1398,0,9216,4.12
1780605424.860,3489,1397,0,9216,4.12
1780605425.860,3489,1398,0,9216,4.12
1780605426.860,3489,1398,0,9216,4.03
1780605427.860,3337,1345,0,9024,4.03
1780605428.861,3319,1354,0,9024,4.03
1780605429.861,3258,1082,3,9024,4.03
1780605430.861,3203,1115,4,9024,4.03
1780605431.861,2998,1216,0,9024,3.87
1780605432.862,2741,1340,0,8640,3.87
1780605433.862,2700,1381,0,8640,3.87
1780605434.862,2631,1430,0,8640,3.87
1780605435.862,2413,1493,0,8448,3.87
1780605436.862,2365,1513,0,8448,3.80
1780605437.863,2075,1657,0,8064,3.80
1780605438.863,2035,1677,0,8064,3.80
1780605439.863,1983,1703,0,8064,3.80
