t,rss_mb,num_fds,cpu_pct,loop_lag_p99_ms
1780605383.821,130.6,36,0.0,0.00
1780605384.823,153.8,37,8.0,0.00
1780605385.823,153.8,37,0.0,0.00
1780605386.824,154.7,37,0.0,0.00
1780605387.824,154.7,37,1.0,0.00
1780605388.824,154.7,37,0.0,0.00
1780605389.825,154.7,37,0.0,0.00
1780605390.825,154.7,37,0.0,0.00
1780605391.825,154.7,37,0.0,0.00
1780605392.826,154.7,37,0.0,0.00
1780605393.826,154.7,37,2.0,0.00
1780605394.827,154.7,37,0.0,0.00
1780605395.827,154.7,37,0.0,0.00
1780605396.827,154.7,37,0.0,0.00
1780605397.828,154.7,37,0.0,0.00
1780605398.828,154.7,37,0.0,0.00
1780605399.828,154.7,37,0.0,0.00
1780605400.828,154.7,37,1.0,0.00
1780605401.828,154.7,37,0.0,0.00
1780605402.829,154.7,37,0.0,0.00
1780605403.829,154.7,37,1.0,0.00
1780605404.829,154.7,37,0.0,0.00
1780605405.830,154.7,37,0.0,0.00
1780605406.830,154.7,37,0.0,0.00
1780605407.830,154.7,37,1.0,0.00
1780605408.830,154.7,37,1.0,0.00
1780605409.830,155.0,37,2.0,0.00
1780605410.831,155.0,37,0.0,0.00
1780605411.831,155.0,37,1.0,0.00
1780605412.831,155.0,37,0.0,0.00
1780605413.831,155.0,37,1.0,0.00
1780605414.831,155.0,37,1.0,0.00
1780605415.832,155.2,37,5.0,0.00
1780605416.832,155.2,37,1.0,0.00
1780605417.832,155.2,37,0.0,0.00
1780605418.833,155.2,37,0.0,0.00
1780605419.833,155.2,37,1.0,0.00
1780605420.833,155.2,37,0.0,0.00
1780605421.833,155.2,37,0.0,0.00
1780605422.833,155.2,37,1.0,0.00
1780605423.834,155.2,37,0.0,0.00
1780605424.834,155.2,37,1.0,0.00
1780605425.835,155.2,37,0.0,0.00
1780605426.835,155.2,37,0.0,0.00
1780605427.835,155.2,37,1.0,0.00
1780605428.835,155.2,37,0.0,0.00
1780605429.836,155.2,37,0.0,0.00
1780605430.836,155.2,37,1.0,0.00
1780605431.836,155.2,37,1.0,0.00
1780605432.836,155.2,37,1.0,0.00
1780605433.837,155.2,37,0.0,0.00
1780605434.837,155.2,37,1.0,0.00
1780605435.837,155.2,37,0.0,0.00
1780605436.837,155.2,37,1.0,0.00
1780605437.838,155.2,37,0.0,0.00
1780605438.838,155.2,37,1.0,0.00
1780605439.838,155.2,37,0.0,0.00
1780605440.838,155.2,37,6.0,0.00
1780605441.839,155.2,37,0.0,0.00
1780605442.839,155.2,37,0.0,0.00
1780605443.839,155.2,37,1.0,0.00
1780605444.839,155.2,37,0.0,0.00
1780605445.839,155.2,37,0.0,0.00
1780605446.840,155.2,37,0.0,0.00
1780605447.840,155.2,37,1.0,0.00
1780605448.840,155.2,37,0.0,0.00
1780605449.841,155.2,37,0.0,0.00
1780605450.841,155.2,37,0.0,0.00
1780605451.841,155.2,37,0.0,0.00
1780605452.841,155.2,37,1.0,0.00
1780605453.842,155.2,37,0.0,0.00
1780605454.842,155.2,37,0.0,0.00
1780605455.842,155.2,37,0.0,0.00
1780605456.842,155.2,37,1.0,0.00
1780605457.842,155.2,37,0.0,0.00
1780605458.843,155.2,37,0.0,0.00
1780605459.843,155.2,37,0.0,0.00
1780605460.843,155.2,37,1.0,0.00
1780605461.843,155.2,37,1.0,0.00
1780605462.843,155.2,37,0.0,0.00
1780605463.844,155.2,37,2.0,0.00
1780605464.844,155.2,37,0.0,0.00
1780605465.844,155.2,37,1.0,0.00
1780605466.844,155.2,37,1.0,0.00
1780605467.845,155.2,37,0.0,0.00
1780605468.845,155.2,37,0.0,0.00
1780605469.845,155.2,37,1.0,0.00
1780605470.845,155.2,37,6.0,0.00
1780605471.846,155.2,37,1.0,0.00
1780605472.846,155.2,37,0.0,0.00
1780605473.846,155.2,37,0.0,0.00
1780605474.846,155.2,37,0.0,0.00
1780605475.847,155.2,37,1.0,0.00
1780605476.847,155.2,37,0.0,0.00
1780605477.847,155.2,37,0.0,0.00
1780605478.848,155.2,37,1.0,0.00
1780605479.848,155.2,37,0.0,0.00
1780605480.848,155.2,37,1.0,0.00
1780605481.849,155.2,37,0.0,0.00
1780605482.849,155.2,37,0.0,0.00
1780605483.849,155.2,37,0.0,0.00
1780605484.850,155.2,37,1.0,0.00
1780605485.850,155.2,37,0.0,0.00
1780605486.850,155.2,37,1.0,0.00
1780605487.850,155.2,37,0.0,0.00
1780605488.851,155.2,37,1.0,0.00
1780605489.851,155.2,37,0.0,0.00
1780605490.851,155.2,37,0.0,0.00
1780605491.851,155.2,37,1.0,0.00
1780605492.851,155.2,37,0.0,0.00
1780605493.852,155.2,37,1.0,0.00
1780605494.852,155.2,37,1.0,0.00
1780605495.852,155.2,37,0.0,0.00
1780605496.852,155.2,37,0.0,0.00
1780605497.852,155.2,37,1.0,0.00
1780605498.853,155.5,37,6.0,0.00
1780605499.853,155.5,37,0.0,0.00
1780605500.853,155.5,37,0.0,0.00
1780605501.854,155.5,37,1.0,0.00
1780605502.854,155.5,37,0.0,0.00
1780605503.854,155.5,37,0.0,0.00
1780605504.854,155.5,37,0.0,0.00
1780605505.855,155.5,37,1.0,0.00
1780605506.855,155.5,37,0.0,0.00
1780605507.855,155.5,37,1.0,0.00
1780605508.856,155.5,37,0.0,0.00
1780605509.856,155.5,37,0.0,0.00
1780605510.856,155.5,37,1.0,0.00
1780605511.857,155.5,37,0.0,0.00
1780605512.857,155.5,37,0.0,0.00
1780605513.857,155.5,37,1.0,0.00
1780605514.857,155.5,37,0.0,0.00
1780605515.858,155.5,37,1.0,0.00
1780605516.858,155.5,37,0.0,0.00
1780605517.858,155.5,37,1.0,0.00
1780605518.858,155.5,37,0.0,0.00
1780605519.858,155.5,37,1.0,0.00
1780605520.859,155.5,37,1.0,0.00
1780605521.859,155.5,37,0.0,0.00
1780605522.859,155.5,37,1.0,0.00
1780605523.859,155.5,37,1.0,0.00
1780605524.859,155.5,37,0.0,0.00
