t,tcp_inuse,tcp_tw,tcp_orphan,file_nr_used,loadavg_1m
1780611129.280,1447,704,0,5376,7.48
1780611130.281,1965,702,0,5760,7.48
1780611131.281,1965,702,0,5760,7.48
1780611132.281,1965,695,0,5760,7.48
1780611133.281,1965,695,0,5760,7.48
1780611134.281,1965,695,0,5760,7.04
1780611135.281,1965,695,0,5760,7.04
1780611136.282,1965,695,0,5760,7.04
1780611137.282,1943,741,0,5760,7.04
1780611138.282,1943,741,0,5760,7.04
1780611139.282,1965,742,0,5760,6.56
1780611140.282,1965,742,0,5568,6.56
1780611141.282,1965,722,0,5568,6.56
1780611142.283,1965,722,0,5568,6.56
1780611143.283,1965,721,0,5568,6.56
1780611144.283,1901,753,0,5568,6.11
1780611145.283,1881,752,0,5568,6.11
1780611146.283,1881,752,0,5568,6.11
1780611147.283,1883,752,0,5568,6.11
1780611148.284,1883,752,0,5568,6.11
1780611149.284,1883,571,0,5568,5.78
1780611150.284,1885,571,0,5568,5.78
1780611151.284,1965,569,0,5568,5.78
1780611152.284,1965,569,0,5568,5.78
1780611153.284,1965,569,0,5568,5.78
1780611154.285,1965,569,0,5568,5.48
1780611155.285,1965,509,0,5568,5.48
1780611156.285,1965,509,0,5568,5.48
1780611157.285,1948,525,0,5568,5.48
1780611158.285,1931,525,0,5568,5.48
1780611159.286,1931,524,0,5568,5.28
1780611160.286,1931,524,0,5568,5.28
1780611161.286,1931,524,0,5568,5.28
1780611162.286,1931,524,0,5568,5.28
1780611163.286,1931,524,0,5568,5.28
1780611164.286,1931,524,0,5568,5.02
1780611165.287,1931,523,0,5568,5.02
1780611166.287,1931,523,0,5568,5.02
1780611167.287,1931,523,0,5568,5.02
1780611168.287,1955,523,0,5568,5.02
1780611169.287,1955,523,0,5568,4.78
1780611170.287,1955,523,0,5568,4.78
1780611171.288,1955,523,0,5568,4.78
1780611172.288,1955,523,0,5568,4.78
1780611173.288,1955,520,0,5568,4.78
1780611174.288,1965,520,0,5568,4.47
1780611175.288,1965,518,0,5568,4.47
1780611176.288,1965,518,0,5568,4.47
1780611177.288,1965,518,0,5568,4.47
1780611178.289,1965,518,0,5568,4.47
1780611179.289,1937,531,0,5568,4.20
1780611180.289,1941,531,0,5568,4.20
1780611181.289,1941,281,0,5568,4.20
1780611182.289,1941,283,0,5568,4.20
1780611183.289,1941,283,0,5568,4.20
1780611184.290,1941,122,0,5568,3.94
1780611185.290,1937,124,0,5568,3.94
1780611186.290,1943,127,0,5568,3.94
1780611187.290,1943,127,0,5568,3.94
1780611188.290,1943,124,0,5568,3.94
1780611189.290,1943,124,0,5568,3.78
1780611190.290,1943,123,0,5568,3.78
1780611191.291,1939,126,0,5568,3.78
1780611192.291,1945,126,0,5568,3.78
1780611193.291,1945,126,0,5568,3.78
1780611194.291,1945,127,0,5568,3.72
1780611195.291,1945,127,0,5568,3.72
1780611196.291,1945,127,0,5568,3.72
1780611197.292,1944,129,0,5568,3.72
1780611198.292,1943,83,0,5568,3.72
1780611199.292,1943,83,0,5568,3.50
1780611200.292,1943,82,0,5568,3.50
1780611201.292,1943,82,0,5568,3.50
1780611202.292,1943,82,0,5568,3.50
1780611203.292,1943,82,0,5568,3.50
1780611204.293,1939,84,0,5568,3.38
1780611205.293,1943,86,0,5568,3.38
1780611206.293,1943,55,0,5568,3.38
1780611207.293,1943,55,0,5568,3.38
1780611208.293,1943,55,0,5568,3.38
1780611209.293,1943,55,0,5568,3.19
1780611210.294,1943,55,0,5760,3.19
1780611211.294,1941,57,0,5760,3.19
1780611212.294,1941,57,0,5760,3.19
1780611213.294,1941,57,0,5760,3.19
1780611214.294,1941,57,0,5760,3.10
1780611215.294,1941,57,0,5760,3.10
1780611216.295,1941,57,0,5760,3.10
1780611217.295,1947,57,0,5760,3.10
1780611218.295,1947,40,0,5760,3.10
1780611219.295,1947,40,0,5760,3.09
1780611220.295,1947,40,0,5760,3.09
1780611221.295,1947,40,0,5760,3.09
1780611222.295,1941,43,0,5760,3.09
1780611223.296,1965,43,0,5760,3.09
1780611224.296,1965,43,0,5760,3.00
1780611225.296,1965,44,0,5760,3.00
1780611226.296,1965,44,0,5760,3.00
1780611227.296,1965,44,0,5760,3.00
1780611228.296,1965,44,0,5760,3.00
1780611229.297,1942,67,0,5760,3.00
1780611230.297,1919,67,0,5760,3.00
1780611231.297,1965,67,0,5760,3.00
1780611232.297,1965,67,0,5760,3.00
1780611233.297,1965,67,0,5760,3.00
1780611234.297,1965,67,0,5760,2.84
1780611235.297,1965,67,0,5760,2.84
1780611236.298,1965,67,0,5760,2.84
1780611237.298,1947,76,0,5760,2.84
1780611238.298,1947,76,0,5760,2.84
1780611239.298,1947,62,0,5760,2.77
1780611240.298,1948,62,0,5760,2.77
1780611241.299,1947,63,0,5760,2.77
1780611242.299,1947,63,0,5760,2.77
1780611243.299,1943,61,0,5760,2.77
1780611244.299,1943,61,0,5760,2.79
1780611245.299,1943,62,0,5760,2.79
1780611246.299,1943,62,0,5760,2.79
1780611247.299,1943,53,0,5760,2.79
1780611248.300,1965,53,0,5760,2.79
1780611249.300,1965,53,0,5760,2.73
1780611250.300,1965,53,0,5760,2.73
1780611251.300,1965,52,0,5760,2.73
1780611252.300,1965,53,0,5760,2.73
1780611253.300,1965,50,0,5760,2.73
1780611254.300,1965,50,0,5760,2.67
1780611255.301,1925,69,0,5760,2.67
1780611256.301,1947,69,0,5760,2.67
1780611257.301,1965,68,0,5760,2.67
1780611258.301,1965,68,0,5760,2.67
1780611259.301,1965,67,0,5760,2.62
1780611260.301,1965,68,0,5760,2.62
1780611261.302,1965,68,0,5760,2.62
1780611262.302,1965,68,0,5760,2.62
1780611263.302,1933,84,0,5760,2.62
1780611264.302,1933,84,0,5760,2.65
1780611265.302,1933,80,0,5760,2.65
1780611266.302,1933,80,0,5760,2.65
1780611267.302,1965,80,0,5760,2.65
1780611268.303,1965,79,0,5760,2.65
1780611269.303,1965,79,0,5760,2.59
1780611270.303,1965,79,0,5760,2.59
1780611271.303,1965,79,0,5760,2.59
1780611272.303,1965,77,0,5760,2.59
1780611273.303,1927,96,0,5760,2.59
1780611274.303,1927,96,0,5760,2.63
1780611275.304,1927,96,0,5760,2.63
1780611276.304,1927,96,0,5760,2.63
1780611277.304,1927,96,0,5760,2.63
1780611278.304,1927,96,0,5760,2.63
1780611279.304,1927,97,0,5760,2.50
1780611280.304,1927,97,0,5760,2.50
1780611281.304,1927,97,0,5760,2.50
1780611282.305,1927,97,0,5760,2.50
1780611283.305,1927,98,0,5760,2.50
1780611284.305,1955,95,0,5760,2.54
1780611285.305,1955,95,0,5760,2.54
1780611286.305,1955,94,0,5760,2.54
1780611287.305,1955,94,0,5760,2.54
1780611288.306,1955,94,0,5760,2.54
